"";"Lineage_Name";"species";"biomes";"n_interactions";"n_local_partners";"n_local_species";"ND_Host_Parasite";"Host_Status"
"240";"DENPET03";"Rynchops_niger";"Amazonia";1;23;15;0,0434782608695652;"M"
"241";"DENPET03";"Saltator_coerulescens";"Pantanal";1;20;11;0,05;"R"
"242";"DENPET03";"Saltator_coerulescens";"Pantanal";1;36;19;0,0277777777777778;"R"
"243";"DENPET03";"Saltator_coerulescens";"Pantanal";1;23;15;0,0434782608695652;"R"
"244";"DENPET03";"Schoeniophylax_phryganophilus";"Cerrado";1;20;11;0,05;"R"
"245";"DENPET03";"Schoeniophylax_phryganophilus";"Cerrado";1;36;19;0,0277777777777778;"R"
"246";"DENPET03";"Schoeniophylax_phryganophilus";"Cerrado";1;23;15;0,0434782608695652;"R"
"247";"DENPET03";"Synallaxis_frontalis";"Caatinga";1;20;11;0,05;"R"
"248";"DENPET03";"Synallaxis_frontalis";"Caatinga";1;36;19;0,0277777777777778;"R"
"249";"DENPET03";"Synallaxis_frontalis";"Caatinga";1;23;15;0,0434782608695652;"R"
"250";"DENPET03";"Tangara_cayana";"Cerrado";1;20;11;0,05;"R"
"251";"DENPET03";"Tangara_cayana";"Cerrado";1;36;19;0,0277777777777778;"R"
"252";"DENPET03";"Tangara_cayana";"Cerrado";1;23;15;0,0434782608695652;"R"
"253";"DENPET03";"Thamnophilus_nigrocinereus";"Amazonia";1;20;11;0,05;"R"
"254";"DENPET03";"Thamnophilus_nigrocinereus";"Amazonia";1;36;19;0,0277777777777778;"R"
"255";"DENPET03";"Thamnophilus_nigrocinereus";"Amazonia";1;23;15;0,0434782608695652;"R"
"256";"DENPET03";"Thryothorus_longirostris";"Caatinga";1;20;11;0,05;"R"
"257";"DENPET03";"Thryothorus_longirostris";"Caatinga";1;36;19;0,0277777777777778;"R"
"258";"DENPET03";"Thryothorus_longirostris";"Caatinga";1;23;15;0,0434782608695652;"R"
"259";"DENPET03";"Trichothraupis_melanops";"Mata_Atlantica";1;20;11;0,05;"R"
"260";"DENPET03";"Trichothraupis_melanops";"Mata_Atlantica";1;36;19;0,0277777777777778;"R"
"261";"DENPET03";"Trichothraupis_melanops";"Mata_Atlantica";1;23;15;0,0434782608695652;"R"
"262";"DENPET03";"Troglodytes_aedon";"Mata_Atlantica";1;20;11;0,05;"M"
"263";"DENPET03";"Troglodytes_aedon";"Mata_Atlantica";1;36;19;0,0277777777777778;"M"
"264";"DENPET03";"Troglodytes_aedon";"Mata_Atlantica";1;23;15;0,0434782608695652;"M"
"265";"DENPET03";"Trogon_curucui";"Mata_Atlantica";1;20;11;0,05;"R"
"266";"DENPET03";"Trogon_curucui";"Mata_Atlantica";1;36;19;0,0277777777777778;"R"
"267";"DENPET03";"Trogon_curucui";"Mata_Atlantica";1;23;15;0,0434782608695652;"R"
"268";"DENPET03";"Turdus_amaurochalinus";"Mata_Atlantica";2;20;11;0,1;"PM"
"269";"DENPET03";"Turdus_amaurochalinus";"Mata_Atlantica";2;36;19;0,0555555555555556;"PM"
"270";"DENPET03";"Turdus_amaurochalinus";"Mata_Atlantica";2;23;15;0,0869565217391304;"PM"
"271";"DENPET03";"Turdus_flavipes";"Mata_Atlantica";2;20;11;0,1;"M"
"272";"DENPET03";"Turdus_flavipes";"Mata_Atlantica";2;36;19;0,0555555555555556;"M"
"273";"DENPET03";"Turdus_flavipes";"Mata_Atlantica";2;23;15;0,0869565217391304;"M"
"274";"DENPET03";"Turdus_hauxwelli";"Amazonia";2;20;11;0,1;"R"
"275";"DENPET03";"Turdus_hauxwelli";"Amazonia";2;36;19;0,0555555555555556;"R"
"276";"DENPET03";"Turdus_hauxwelli";"Amazonia";2;23;15;0,0869565217391304;"R"
"277";"DENPET03";"Turdus_leucomelas";"Cerrado";1;20;11;0,05;"R"
"278";"DENPET03";"Turdus_leucomelas";"Cerrado";1;36;19;0,0277777777777778;"R"
"279";"DENPET03";"Turdus_leucomelas";"Cerrado";1;23;15;0,0434782608695652;"R"
