"";"species";"normalised.degree";"PDI";"species.specificity.index";"effective.partners";"biomes";"Host_Status"
"328";"Turdus_subalaris";0,0476190476190476;0,0285714285714286;1;1;"Cerrado";"PM"
"329";"Tyrannus_melancholicus";0,0833333333333333;0,205446906035141;1;1;"Caatinga";"PM"
"330";"Tyrannus_melancholicus";0,0476190476190476;0,166666666666667;1;1;"Cerrado";"PM"
"331";"Tyrannus_melancholicus";0,0588235294117647;0,205446906035141;1;1;"Mata_Atlantica";"PM"
"332";"Veniliornis_affinis";0,0833333333333333;0,0588235294117647;1;1;"Caatinga";"R"
"333";"Veniliornis_passerinus";0,0833333333333333;0,0588235294117647;1;1;"Caatinga";"R"
"334";"Vireo_olivaceus";0,0714285714285714;0,0714285714285714;1;1;"Andinean_Forest";"M"
"335";"Vireo_olivaceus";0,0588235294117647;0,242512077294686;1;1;"Mata_Atlantica";"M"
"336";"Volatinia_jacarina";0,333333333333333;0,173969084339928;0,504262745693463;3,39349063415525;"Caatinga";"R"
"337";"Volatinia_jacarina";0,19047619047619;0,479207760838196;0,687587007363141;2,58144817647882;"Cerrado";"R"
"338";"Willisornis_poecilinotus";0,176470588235294;0,105769230769231;0,553283335172488;2,94171342108318;"Amazonia";"R"
"339";"Willisornis_poecilinotus";0,0714285714285714;0,0384615384615385;1;1;"Andinean_Forest";"R"
"340";"Xiphorhynchus_elegans";0,0588235294117647;0,0384615384615385;1;1;"Amazonia";"R"
"341";"Xiphorhynchus_ocellatus";0,0588235294117647;0,121256038647343;1;1;"Amazonia";"R"
"342";"Zonotrichia_capensis";0,0714285714285714;0,227272727272727;1;1;"Andinean_Forest";"R"
"343";"Zonotrichia_capensis";0,166666666666667;0,202849503437739;0,875295957734965;1,44928406692765;"Caatinga";"R"
"344";"Zonotrichia_capensis";0,19047619047619;0,695947585236588;0,606804330344896;2,86926460940545;"Cerrado";"R"
"345";"Zonotrichia_capensis";0,117647058823529;0,22967164566749;0,687304221935857;1,99315760430134;"Mata_Atlantica";"R"
