"";"x";"y";"Temp";"Prec"
"3264";-56,633333;-4,683333;270;2192
"3265";-47,55;-15,533333;214;1426
"3266";-56,633333;-4,683333;270;2192
"3267";-47,55;-15,533333;214;1426
"3268";-56,633333;-4,683333;270;2192
"3269";-47,55;-15,533333;214;1426
"3270";-56,633333;-4,683333;270;2192
"3271";-47,55;-15,533333;214;1426
"3272";-56,633333;-4,683333;270;2192
"3273";-47,55;-15,533333;214;1426
"3274";-56,633333;-4,683333;270;2192
"3275";-47,55;-15,533333;214;1426
"3276";-56,633333;-4,683333;270;2192
"3277";-47,55;-15,533333;214;1426
"3278";-56,633333;-4,683333;270;2192
"3279";-47,55;-15,533333;214;1426
"3280";-56,633333;-4,683333;270;2192
"3281";-47,55;-15,533333;214;1426
"3282";-56,633333;-4,683333;270;2192
"3283";-47,55;-15,533333;214;1426
"3284";-56,633333;-4,683333;270;2192
"3285";-47,55;-15,533333;214;1426
"3286";-56,633333;-4,683333;270;2192
"3287";-47,55;-15,533333;214;1426
"3288";-56,633333;-4,683333;270;2192
"3289";-47,55;-15,533333;214;1426
"3290";-56,633333;-4,683333;270;2192
"3291";-47,55;-15,533333;214;1426
"3292";-56,633333;-4,683333;270;2192
"3293";-47,55;-15,533333;214;1426
"3294";-56,633333;-4,683333;270;2192
"3295";-47,55;-15,533333;214;1426
"3296";-56,633333;-4,683333;270;2192
"3297";-47,55;-15,533333;214;1426
"3298";-56,633333;-4,683333;270;2192
"3299";-47,55;-15,533333;214;1426
"3300";-56,633333;-4,683333;270;2192
"3301";-47,55;-15,533333;214;1426
"3302";-56,633333;-4,683333;270;2192
"3303";-47,55;-15,533333;214;1426
"3304";-56,633333;-4,683333;270;2192
"3305";-47,55;-15,533333;214;1426
"3306";-56,633333;-4,683333;270;2192
"3307";-47,55;-15,533333;214;1426
"3308";-56,633333;-4,683333;270;2192
"3309";-47,55;-15,533333;214;1426
"3310";-56,633333;-4,683333;270;2192
"3311";-47,55;-15,533333;214;1426
"3312";-56,633333;-4,683333;270;2192
"3313";-47,55;-15,533333;214;1426
"3314";-56,633333;-4,683333;270;2192
"3315";-47,55;-15,533333;214;1426
"3316";-56,633333;-4,683333;270;2192
"3317";-47,55;-15,533333;214;1426
"3318";-56,633333;-4,683333;270;2192
"3319";-47,55;-15,533333;214;1426
"3320";-56,633333;-4,683333;270;2192
"3321";-47,55;-15,533333;214;1426
"3322";-56,633333;-4,683333;270;2192
"3323";-47,55;-15,533333;214;1426
"3324";-56,633333;-4,683333;270;2192
"3325";-47,55;-15,533333;214;1426
"3326";-56,633333;-4,683333;270;2192
"3327";-47,55;-15,533333;214;1426
"3328";-56,633333;-4,683333;270;2192
"3329";-47,55;-15,533333;214;1426
"3330";-56,633333;-4,683333;270;2192
"3331";-47,55;-15,533333;214;1426
"3332";-56,633333;-4,683333;270;2192
"3333";-47,55;-15,533333;214;1426
"3334";-56,633333;-4,683333;270;2192
"3335";-47,55;-15,533333;214;1426
"3336";-56,633333;-4,683333;270;2192
"3337";-47,55;-15,533333;214;1426
"3338";-56,633333;-4,683333;270;2192
"3339";-47,55;-15,533333;214;1426
"3340";-56,633333;-4,683333;270;2192
"3341";-47,55;-15,533333;214;1426
"3342";-56,633333;-4,683333;270;2192
"3343";-47,55;-15,533333;214;1426
"3344";-56,633333;-4,683333;270;2192
"3345";-47,55;-15,533333;214;1426
"3346";-56,633333;-4,683333;270;2192
"3347";-47,55;-15,533333;214;1426
"3348";-56,633333;-4,683333;270;2192
"3349";-47,55;-15,533333;214;1426
"3350";-56,633333;-4,683333;270;2192
"3351";-47,55;-15,533333;214;1426
"3352";-56,633333;-4,683333;270;2192
"3353";-47,55;-15,533333;214;1426
"3354";-56,633333;-4,683333;270;2192
"3355";-47,55;-15,533333;214;1426
"3356";-56,633333;-4,683333;270;2192
"3357";-47,55;-15,533333;214;1426
"3358";-56,633333;-4,683333;270;2192
"3359";-47,55;-15,533333;214;1426
"3360";-56,633333;-4,683333;270;2192
"3361";-47,55;-15,533333;214;1426
"3362";-56,633333;-4,683333;270;2192
"3363";-47,55;-15,533333;214;1426
"3364";-56,633333;-4,683333;270;2192
"3365";-47,55;-15,533333;214;1426
"3366";-56,633333;-4,683333;270;2192
"3367";-47,55;-15,533333;214;1426
"3368";-56,633333;-4,683333;270;2192
"3369";-47,55;-15,533333;214;1426
"3370";-56,633333;-4,683333;270;2192
"3371";-47,55;-15,533333;214;1426
"3372";-56,633333;-4,683333;270;2192
"3373";-47,55;-15,533333;214;1426
"3374";-56,633333;-4,683333;270;2192
"3375";-47,55;-15,533333;214;1426
"3376";-56,633333;-4,683333;270;2192
"3377";-47,55;-15,533333;214;1426
"3378";-56,633333;-4,683333;270;2192
"3379";-47,55;-15,533333;214;1426
"3380";-56,633333;-4,683333;270;2192
"3381";-47,55;-15,533333;214;1426
"3382";-56,633333;-4,683333;270;2192
"3383";-47,55;-15,533333;214;1426
"3384";-56,633333;-4,683333;270;2192
"3385";-47,55;-15,533333;214;1426
"3386";-56,633333;-4,683333;270;2192
"3387";-47,55;-15,533333;214;1426
"3388";-56,633333;-4,683333;270;2192
"3389";-47,55;-15,533333;214;1426
"3390";-56,633333;-4,683333;270;2192
"3391";-47,55;-15,533333;214;1426
"3392";-56,633333;-4,683333;270;2192
"3393";-47,55;-15,533333;214;1426
"3394";-56,633333;-4,683333;270;2192
"3395";-47,55;-15,533333;214;1426
"3396";-56,633333;-4,683333;270;2192
"3397";-47,55;-15,533333;214;1426
"3398";-56,633333;-4,683333;270;2192
"3399";-47,55;-15,533333;214;1426
"3400";-56,633333;-4,683333;270;2192
"3401";-47,55;-15,533333;214;1426
"3402";-56,633333;-4,683333;270;2192
"3403";-47,55;-15,533333;214;1426
"3404";-56,633333;-4,683333;270;2192
"3405";-47,55;-15,533333;214;1426
"3406";-56,633333;-4,683333;270;2192
"3407";-47,55;-15,533333;214;1426
"3408";-56,633333;-4,683333;270;2192
"3409";-47,55;-15,533333;214;1426
"3410";-56,633333;-4,683333;270;2192
"3411";-47,55;-15,533333;214;1426
"3412";-56,633333;-4,683333;270;2192
"3413";-47,55;-15,533333;214;1426
"3414";-56,633333;-4,683333;270;2192
"3415";-47,55;-15,533333;214;1426
"3416";-56,633333;-4,683333;270;2192
"3417";-47,55;-15,533333;214;1426
"3418";-56,633333;-4,683333;270;2192
"3419";-47,55;-15,533333;214;1426
"3420";-56,633333;-4,683333;270;2192
"3421";-47,55;-15,533333;214;1426
"3422";-56,633333;-4,683333;270;2192
"3423";-47,55;-15,533333;214;1426
"3424";-56,633333;-4,683333;270;2192
"3425";-47,55;-15,533333;214;1426
"3426";-56,633333;-4,683333;270;2192
"3427";-47,55;-15,533333;214;1426
"3428";-56,633333;-4,683333;270;2192
"3429";-47,55;-15,533333;214;1426
"3430";-56,633333;-4,683333;270;2192
"3431";-47,55;-15,533333;214;1426
"3432";-56,633333;-4,683333;270;2192
"3433";-47,55;-15,533333;214;1426
"3434";-56,633333;-4,683333;270;2192
"3435";-47,55;-15,533333;214;1426
"3436";-56,633333;-4,683333;270;2192
"3437";-47,55;-15,533333;214;1426
"3438";-56,633333;-4,683333;270;2192
"3439";-47,55;-15,533333;214;1426
"3440";-56,633333;-4,683333;270;2192
"3441";-47,55;-15,533333;214;1426
"3442";-56,633333;-4,683333;270;2192
"3443";-47,55;-15,533333;214;1426
"3444";-56,633333;-4,683333;270;2192
"3445";-47,55;-15,533333;214;1426
"3446";-56,633333;-4,683333;270;2192
"3447";-47,55;-15,533333;214;1426
"3448";-56,633333;-4,683333;270;2192
"3449";-47,55;-15,533333;214;1426
"3450";-56,633333;-4,683333;270;2192
"3451";-47,55;-15,533333;214;1426
"3452";-56,633333;-4,683333;270;2192
"3453";-47,55;-15,533333;214;1426
"3454";-56,633333;-4,683333;270;2192
"3455";-47,55;-15,533333;214;1426
"3456";-56,633333;-4,683333;270;2192
"3457";-47,55;-15,533333;214;1426
"3458";-56,633333;-4,683333;270;2192
"3459";-47,55;-15,533333;214;1426
"3460";-56,633333;-4,683333;270;2192
"3461";-47,55;-15,533333;214;1426
"3462";-56,633333;-4,683333;270;2192
"3463";-47,55;-15,533333;214;1426
"3464";-56,633333;-4,683333;270;2192
"3465";-47,55;-15,533333;214;1426
"3466";-56,633333;-4,683333;270;2192
"3467";-47,55;-15,533333;214;1426
"3468";-56,633333;-4,683333;270;2192
"3469";-47,55;-15,533333;214;1426
"3470";-56,633333;-4,683333;270;2192
"3471";-47,55;-15,533333;214;1426
"3472";-56,633333;-4,683333;270;2192
"3473";-47,55;-15,533333;214;1426
"3474";-56,633333;-4,683333;270;2192
"3475";-47,55;-15,533333;214;1426
"3476";-56,633333;-4,683333;270;2192
"3477";-47,55;-15,533333;214;1426
"3478";-56,633333;-4,683333;270;2192
"3479";-47,55;-15,533333;214;1426
"3480";-56,633333;-4,683333;270;2192
"3481";-47,55;-15,533333;214;1426
"3482";-56,633333;-4,683333;270;2192
"3483";-47,55;-15,533333;214;1426
"3484";-56,633333;-4,683333;270;2192
"3485";-47,55;-15,533333;214;1426
"3486";-56,633333;-4,683333;270;2192
"3487";-47,55;-15,533333;214;1426
"3488";-56,633333;-4,683333;270;2192
"3489";-47,55;-15,533333;214;1426
"3490";-56,633333;-4,683333;270;2192
"3491";-47,55;-15,533333;214;1426
"3492";-56,633333;-4,683333;270;2192
"3493";-47,55;-15,533333;214;1426
"3494";-56,633333;-4,683333;270;2192
"3495";-47,55;-15,533333;214;1426
"3496";-56,633333;-4,683333;270;2192
"3497";-47,55;-15,533333;214;1426
"3498";-56,633333;-4,683333;270;2192
"3499";-47,55;-15,533333;214;1426
"3500";-56,633333;-4,683333;270;2192
"3501";-47,55;-15,533333;214;1426
"3502";-56,633333;-4,683333;270;2192
"3503";-47,55;-15,533333;214;1426
"3504";-56,633333;-4,683333;270;2192
"3505";-47,55;-15,533333;214;1426
"3506";-56,633333;-4,683333;270;2192
"3507";-47,55;-15,533333;214;1426
"3508";-56,633333;-4,683333;270;2192
"3509";-47,55;-15,533333;214;1426
"3510";-56,633333;-4,683333;270;2192
"3511";-47,55;-15,533333;214;1426
"3512";-56,633333;-4,683333;270;2192
"3513";-47,55;-15,533333;214;1426
"3514";-56,633333;-4,683333;270;2192
"3515";-47,55;-15,533333;214;1426
"3516";-56,633333;-4,683333;270;2192
"3517";-47,55;-15,533333;214;1426
"3518";-56,633333;-4,683333;270;2192
"3519";-47,55;-15,533333;214;1426
"3520";-56,633333;-4,683333;270;2192
"3521";-47,55;-15,533333;214;1426
"3522";-56,633333;-4,683333;270;2192
"3523";-47,55;-15,533333;214;1426
"3524";-56,633333;-4,683333;270;2192
"3525";-47,55;-15,533333;214;1426
"3526";-56,633333;-4,683333;270;2192
"3527";-47,55;-15,533333;214;1426
"3528";-56,633333;-4,683333;270;2192
"3529";-47,55;-15,533333;214;1426
"3530";-56,633333;-4,683333;270;2192
"3531";-47,55;-15,533333;214;1426
"3532";-56,633333;-4,683333;270;2192
"3533";-47,55;-15,533333;214;1426
"3534";-56,633333;-4,683333;270;2192
"3535";-47,55;-15,533333;214;1426
"3536";-56,633333;-4,683333;270;2192
"3537";-47,55;-15,533333;214;1426
"3538";-56,633333;-4,683333;270;2192
"3539";-47,55;-15,533333;214;1426
"3540";-56,633333;-4,683333;270;2192
"3541";-47,55;-15,533333;214;1426
"3542";-56,633333;-4,683333;270;2192
"3543";-47,55;-15,533333;214;1426
"3544";-56,633333;-4,683333;270;2192
"3545";-47,55;-15,533333;214;1426
"3546";-56,633333;-4,683333;270;2192
"3547";-47,55;-15,533333;214;1426
"3548";-56,633333;-4,683333;270;2192
"3549";-47,55;-15,533333;214;1426
"3550";-56,633333;-4,683333;270;2192
"3551";-47,55;-15,533333;214;1426
"3552";-56,633333;-4,683333;270;2192
"3553";-47,55;-15,533333;214;1426
"3554";-56,633333;-4,683333;270;2192
"3555";-47,55;-15,533333;214;1426
"3556";-56,633333;-4,683333;270;2192
"3557";-47,55;-15,533333;214;1426
"3558";-56,633333;-4,683333;270;2192
"3559";-47,55;-15,533333;214;1426
"3560";-56,633333;-4,683333;270;2192
"3561";-47,55;-15,533333;214;1426
"3562";-56,633333;-4,683333;270;2192
"3563";-47,55;-15,533333;214;1426
"3564";-56,633333;-4,683333;270;2192
"3565";-47,55;-15,533333;214;1426
"3566";-56,633333;-4,683333;270;2192
"3567";-47,55;-15,533333;214;1426
"3568";-56,633333;-4,683333;270;2192
"3569";-47,55;-15,533333;214;1426
"3570";-56,633333;-4,683333;270;2192
"3571";-47,55;-15,533333;214;1426
"3572";-56,633333;-4,683333;270;2192
"3573";-47,55;-15,533333;214;1426
"3574";-56,633333;-4,683333;270;2192
"3575";-47,55;-15,533333;214;1426
"3576";-56,633333;-4,683333;270;2192
"3577";-47,55;-15,533333;214;1426
"3578";-56,633333;-4,683333;270;2192
"3579";-47,55;-15,533333;214;1426
"3580";-56,633333;-4,683333;270;2192
"3581";-47,55;-15,533333;214;1426
"3582";-56,633333;-4,683333;270;2192
"3583";-47,55;-15,533333;214;1426
"3584";-56,633333;-4,683333;270;2192
"3585";-47,55;-15,533333;214;1426
"3586";-56,633333;-4,683333;270;2192
"3587";-47,55;-15,533333;214;1426
"3588";-56,633333;-4,683333;270;2192
"3589";-47,55;-15,533333;214;1426
"3590";-56,633333;-4,683333;270;2192
"3591";-47,55;-15,533333;214;1426
"3592";-56,633333;-4,683333;270;2192
"3593";-47,55;-15,533333;214;1426
"3594";-56,633333;-4,683333;270;2192
"3595";-47,55;-15,533333;214;1426
"3596";-56,633333;-4,683333;270;2192
"3597";-47,55;-15,533333;214;1426
"3598";-56,633333;-4,683333;270;2192
"3599";-47,55;-15,533333;214;1426
"3600";-56,633333;-4,683333;270;2192
"3601";-47,55;-15,533333;214;1426
