species;weighted.betweenness;weighted.closeness;biomes;Host_Status
Pitangus_sulphuratus;0,0433064100360887;0,00708637966590701;Cerrado;PM
Pitangus_sulphuratus;0;0,00140669593291426;Mata_Atlantica;PM
Pithys_albifrons;0,00484446710861805;0,00770038181069544;Amazonia;R
Pithys_albifrons;0;NA;Andinean_Forest;R
Platyrinchus_mystaceus;0;0,0147527823122563;Andinean_Forest;R
Polioptila_plumbea;0;NA;Caatinga;R
Polioptila_plumbea;0,042790857535659;0,00433207564812154;Cerrado;R
Psarocolius_angustifrons;0;0,0147527823122563;Andinean_Forest;R
Psarocolius_decumanus;0;0,0147527823122563;Andinean_Forest;R
Pyriglena_leuconota;0;0,006777129760108;Amazonia;R
Pyriglena_leucoptera;0;NA;Cerrado;R
Pyriglena_leucoptera;0;NA;Mata_Atlantica;R
Ramphastos_dicolorus;0;0,00866612153493441;Mata_Atlantica;R
Ramphastos_vitellinus;0;0,00581766934899536;Amazonia;R
Ramphocelus_carbo;0;0,00930375540426657;Amazonia;R
Ramphotrigon_ruficauda;0;0,00422771604810356;Amazonia;R
Rhegmatorhina_berlepschi;0;0,00441676689251526;Amazonia;R
Rhegmatorhina_gymnops;0;0,00307662496159881;Amazonia;R
Rhegmatorhina_hoffmannsi;0;0,00307662496159881;Amazonia;R
Rhynchocyclus_olivaceus;0;0,00476024848199399;Amazonia;R
Rhytipterna_simplex;0;0,00422771604810356;Amazonia;R
Rynchops_niger;0;0,00581766934899536;Amazonia;M
Sakesphorus_cristatus;0;0,00283119435003437;Cerrado;R
Saltator_coerulescens;0;0,00496902421563741;Amazonia;R
Saltator_similis;0;0,0111948274096726;Mata_Atlantica;R
Sayornis_nigricans;0;NA;Andinean_Forest;R
Schiffornis_virescens;0;0,00749572180023034;Mata_Atlantica;R
Schistochlamys_ruficapillus;0;0,00140669593291426;Mata_Atlantica;R
Schistocichla_humaythae;0;0,00441676689251526;Amazonia;R
Schoeniophylax_phryganophilus;0;0,00486832339756356;Cerrado;R
Sclerurus_caudacutus;0;0,00363105309240716;Amazonia;R
Sittasomus_griseicapillus;0;0,00410722426834958;Cerrado;R
Sporophila_plumbea;0;0,00142431408997289;Cerrado;R
Stephanophorus_diadematus;0;0,0121801617379223;Mata_Atlantica;R
Suiriri_islerorum;0;0,0104290513233889;Cerrado;R
Synallaxis_azarae;0;0,0072392434010661;Andinean_Forest;R
Synallaxis_frontalis;0;0,0119145778927919;Caatinga;R
Synallaxis_frontalis;0;0,00578247736237056;Cerrado;R
Synallaxis_scutata;0,0379790341983159;0,00713721417591814;Cerrado;R
Tachuris_rubrigastra;0;NA;Andinean_Forest;R
Tachyphonus_coronatus;0,0494255365272057;0,0171833099926795;Mata_Atlantica;R
Tachyphonus_cristatus;0;0,00422771604810356;Amazonia;R
Tachyphonus_phoenicius;0;0,00837551733179963;Cerrado;R
Tachyphonus_rufus;0;NA;Amazonia;R
Tachyphonus_rufus;0;0,021231992324906;Caatinga;R
