species;betweenness;weighted.betweenness;closeness;weighted.closeness;normalised.degree;biomes
Heliangelus_viola;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Heliodoxa_rubinoides;0;0;0,0153439153439153;0,0135170710572947;0,0714285714285714;Andinean_Forest
Hellmayrea_gularis;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Hemispingus_superciliaris;0;0;0,0091710758377425;0,00622025009208143;0,0714285714285714;Andinean_Forest
Hemithraupis_guira;0;0;0,01508268217336;0,00486832339756356;0,0476190476190476;Cerrado
Hemitriccus_margaritaceiventer;0,00269464945685753;0;0,0176404270840241;0,0117460775777803;0,117647058823529;Mata_Atlantica
Herpsilochmus_pectoralis;0;0;0,017441474898866;0,00271110721788549;0,0588235294117647;Mata_Atlantica
Herpsilochmus_sellowi;0,01815761635919;0,0305657923260351;0,0176404270840241;0,00517359597650485;0,117647058823529;Mata_Atlantica
Hylexetastes_perrotii;0;0;0,0132278000650548;0,00363105309240716;0,0588235294117647;Amazonia
Hylophilus_amaurocephalus;0;0;0,0144769519655945;0,00137586434109832;0,0476190476190476;Cerrado
Hylophilus_amaurocephalus;0,0238269137287184;0;0,0182372836394986;0,00398021449293265;0,117647058823529;Mata_Atlantica
Hylophylax_naevius;0,00909584095306427;0,000917899031106578;0,014637319744118;0,00549109763572009;0,117647058823529;Amazonia
Hylophylax_naevius;0,0106508875739645;0,00859804155720086;0,00198412698412698;NA;0,142857142857143;Andinean_Forest
Hypocnemis_cantator;0;0;0,0118724926813401;0,00417561313225858;0,0588235294117647;Amazonia
Hypocnemis_cantator;0;0;0,00145502645502645;NA;0,0714285714285714;Andinean_Forest
Hypocnemis_striata;0,210975277812084;0,158541560428353;0,0185406050092161;0,00902374864832466;0,294117647058824;Amazonia
Hypocnemis_subflava;0;0;0,0115472189092486;0,00581766934899536;0,0588235294117647;Amazonia
Icterus_mesomelas;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Iridosornis_analis;0;0;0,0100088183421517;0,0234709647826179;0,0714285714285714;Andinean_Forest
Lafresnaya_lafresnayi;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Lanio_cucullatus;0;0;0,0127992572451754;0,00749572180023034;0,0588235294117647;Mata_Atlantica
Lanio_pileatus;0,332914151576123;0,32033426183844;0,0432036382011117;0,0325813886387155;0,416666666666667;Caatinga
Lanio_pileatus;0,0630916305916306;0,109297130091081;0,0178084681083046;0,0125241355176929;0,238095238095238;Cerrado
Lathrotriccus_euleri;0;0;0,0152038282149131;0,0138975256801839;0,0476190476190476;Cerrado
Leiothlypis_peregrina;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Lepidocolaptes_angustirostris;0;0;0;NA;0,0476190476190476;Cerrado
Lepidocolaptes_lacrymiger;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Lepidothrix_coronata;0,0435355681272325;0,119275879653238;0,0157757779464383;0,00979935528522055;0,235294117647059;Amazonia
Lepidothrix_coronata;0;0;0,00145502645502645;NA;0,142857142857143;Andinean_Forest
Lepidothrix_nattereri;0,000841926933168837;0;0,0118182803859915;0,00872044920288661;0,117647058823529;Amazonia
Leptopogon_amaurocephalus;0,0115684032881485;0,000650336006936917;0,0129982094303336;0,0104744919428737;0,117647058823529;Mata_Atlantica
Leptopogon_superciliaris;0;0;0,00158730158730159;NA;0,0714285714285714;Andinean_Forest
Leptopogon_taczanowskii;0;0;0,0153439153439153;0,0072392434010661;0,0714285714285714;Andinean_Forest
Leptotila_verreauxi;0;0;0,017441474898866;0,00140669593291426;0,0588235294117647;Mata_Atlantica
Machaeropterus_pyrocephalus;0;0;0,0118724926813401;0,00417561313225858;0,0588235294117647;Amazonia
Machaeropterus_pyrocephalus;0;0;0,000363438124659277;NA;0,0476190476190476;Cerrado
