species;Host_Status;biomes;normalised.degree;weighted.betweenness;weighted.closeness
Pithys_albifrons;R;Amazonia;0,117647058823529;0,00614612453648687;0,00702371926719673
Pithys_albifrons;R;Andinean_Forest;0,0714285714285714;0;NA
Platyrinchus_mystaceus;R;Andinean_Forest;0,0714285714285714;0;0,00670753806210536
Polioptila_plumbea;R;Caatinga;0,0833333333333333;0;NA
Polioptila_plumbea;R;Cerrado;0,0952380952380952;0,0424886191198786;0,00405743409313731
Psarocolius_angustifrons;R;Andinean_Forest;0,0714285714285714;0;0,00670753806210536
Psarocolius_decumanus;R;Andinean_Forest;0,0714285714285714;0;0,00670753806210536
Pyriglena_leuconota;R;Amazonia;0,0588235294117647;0;0,00546985088888798
Pyriglena_leucoptera;R;Cerrado;0,0476190476190476;0;NA
Pyriglena_leucoptera;R;Mata_Atlantica;0,0588235294117647;0;NA
Ramphastos_dicolorus;R;Mata_Atlantica;0,0588235294117647;0;0,00756256942688529
Ramphastos_vitellinus;R;Amazonia;0,0588235294117647;0;0,00562919209669088
Ramphocelus_carbo;R;Amazonia;0,0588235294117647;0;0,00760650989609525
Ramphotrigon_ruficauda;R;Amazonia;0,0588235294117647;0;0,00338283977432547
Rhegmatorhina_berlepschi;R;Amazonia;0,0588235294117647;0;0,00361781478449545
Rhegmatorhina_gymnops;R;Amazonia;0,0588235294117647;0;0,00383496852130005
Rhegmatorhina_hoffmannsi;R;Amazonia;0,0588235294117647;0;0,00383496852130005
Rhynchocyclus_olivaceus;R;Amazonia;0,0588235294117647;0;0,00378698566310344
Rhytipterna_simplex;R;Amazonia;0,0588235294117647;0;0,00338283977432547
Rynchops_niger;M;Amazonia;0,117647058823529;0;0,00562919209669088
Sakesphorus_cristatus;R;Cerrado;0,0952380952380952;0;0,00216104444910097
Saltator_coerulescens;R;Amazonia;0,0588235294117647;0;0,00371186906748001
Saltator_similis;R;Mata_Atlantica;0,0588235294117647;0;0,00836513218147336
Sayornis_nigricans;R;Andinean_Forest;0,0714285714285714;0;NA
Schiffornis_virescens;R;Mata_Atlantica;0,0588235294117647;0;0,00551630824574397
Schistochlamys_ruficapillus;R;Mata_Atlantica;0,0588235294117647;0;0,0034215413217074
Schistocichla_humaythae;R;Amazonia;0,0588235294117647;0;0,00361781478449545
Schoeniophylax_phryganophilus;R;Cerrado;0,0476190476190476;0;0,00516969239013997
Sclerurus_caudacutus;R;Amazonia;0,0588235294117647;0;0,00379206385525976
Sittasomus_griseicapillus;R;Cerrado;0,0476190476190476;0;0,00386337634377152
Sporophila_plumbea;R;Cerrado;0,0476190476190476;0;0,00209180379097701
Stephanophorus_diadematus;R;Mata_Atlantica;0,0588235294117647;0;0,00905434392254583
Suiriri_islerorum;R;Cerrado;0,0476190476190476;0;0,00906234763752335
Synallaxis_azarae;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Synallaxis_frontalis;R;Caatinga;0,0833333333333333;0;0,012963420659493
Synallaxis_frontalis;R;Cerrado;0,0476190476190476;0;0,00448119748341701
Synallaxis_scutata;R;Cerrado;0,0952380952380952;0,0217501264542236;0,00624412810177484
Tachuris_rubrigastra;R;Andinean_Forest;0,0714285714285714;0;NA
Tachyphonus_coronatus;R;Mata_Atlantica;0,117647058823529;0,0513744930148716;0,0132460329895373
Tachyphonus_cristatus;R;Amazonia;0,0588235294117647;0;0,00338283977432547
Tachyphonus_phoenicius;R;Cerrado;0,0952380952380952;0;0,00748813634770375
Tachyphonus_rufus;R;Amazonia;0,0588235294117647;0;NA
Tachyphonus_rufus;R;Caatinga;0,0833333333333333;0;0,016500756284663
Tachyphonus_rufus;R;Mata_Atlantica;0,176470588235294;0,170572329878324;0,0173891251499873
Tangara_cayana;R;Caatinga;0,0833333333333333;0;0,0104735859336567
Tangara_cayana;R;Cerrado;0,0476190476190476;0;0,00516969239013997
Tangara_cayana;R;Mata_Atlantica;0,117647058823529;0;0,0111317475348848
Tangara_cyanoptera;R;Mata_Atlantica;0,0588235294117647;0;0,0032550553875453
Tangara_nigroviridis;R;Andinean_Forest;0,0714285714285714;0;0,00790780807991513
Tangara_vassorii;R;Andinean_Forest;0,0714285714285714;0;0,00741150213347695
Tangara_viridicollis;R;Andinean_Forest;0,0714285714285714;0;0,00473622729920051
Thamnomanes_ardesiacus;R;Amazonia;0,0588235294117647;0;0,0034577199065757
Thamnomanes_ardesiacus;R;Andinean_Forest;0,0714285714285714;0;NA
Thamnomanes_caesius;R;Amazonia;0,176470588235294;0,0118751298177274;0,00613227057329847
Thamnomanes_caesius;R;Andinean_Forest;0,142857142857143;0,00883218842001963;NA
Thamnomanes_saturninus;R;Amazonia;0,235294117647059;0,00381876934496954;0,0063260654229206
Thamnophilus_aethiops;R;Amazonia;0,176470588235294;0,00173657812388272;0,00546132043025174
Thamnophilus_aethiops;R;Andinean_Forest;0,0714285714285714;0;NA
Thamnophilus_amazonicus;R;Amazonia;0,0588235294117647;0;0,00378698566310344
Thamnophilus_ambiguus;R;Cerrado;0,0952380952380952;0;0,00166764991662556
Thamnophilus_ambiguus;R;Mata_Atlantica;0,0588235294117647;0;NA
Thamnophilus_doliatus;R;Amazonia;0,0588235294117647;0;NA
Thamnophilus_murinus;R;Amazonia;0,0588235294117647;0;0,00709668301277367
Thamnophilus_nigrocinereus;R;Amazonia;0,235294117647059;0,120624078506951;0,00752222702951092
Thamnophilus_pelzelni;R;Caatinga;0,0833333333333333;0;0,0104735859336567
Thamnophilus_schistaceus;R;Amazonia;0,0588235294117647;0;0,00563454728760272
Thlypopsis_sordida;R;Cerrado;0,0952380952380952;0;0,00482778335738543
Thraupis_cyanocephala;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Thraupis_palmarum;R;Amazonia;0,0588235294117647;0;0,00338283977432547
Thraupis_sayaca;R;Mata_Atlantica;0,0588235294117647;0;0,00321588877168482
Thryothorus_euophrys;R;Andinean_Forest;0,0714285714285714;0;0,00731710434382509
Thryothorus_genibarbis;R;Amazonia;0,0588235294117647;0;0,00338283977432547
Thryothorus_leucotis;R;Amazonia;0,0588235294117647;0;0,00382647906593824
Thryothorus_longirostris;R;Caatinga;0,0833333333333333;0;0,012963420659493
Tiaris_fuliginosus;R;Cerrado;0,0952380952380952;0;0,00569232177824089
Tolmomyias_flaviventris;R;Cerrado;0,0952380952380952;0,0323722812341932;0,00359678310923185
Trichothraupis_melanops;R;Cerrado;0,0476190476190476;0;0,00829185962979601
Trichothraupis_melanops;R;Mata_Atlantica;0,235294117647059;0,105790896800361;0,0132487240929894
Troglodytes_aedon;M;Andinean_Forest;0,285714285714286;0,474484789008832;0,0253653796167206
Troglodytes_aedon;M;Caatinga;0,0833333333333333;0;0,0187974386116478
Troglodytes_aedon;M;Mata_Atlantica;0,0588235294117647;0;0,00756256942688529
Trogon_curucui;R;Mata_Atlantica;0,176470588235294;0;0,011828416709511
Trogon_personatus;R;Andinean_Forest;0,0714285714285714;0;NA
Turdus_amaurochalinus;PM;Amazonia;0,0588235294117647;0;0,00566726321787141
Turdus_amaurochalinus;PM;Cerrado;0,0952380952380952;0;0,00166764991662556
Turdus_amaurochalinus;PM;Mata_Atlantica;0,176470588235294;0,0330666967102298;0,0125804318334026
Turdus_flavipes;M;Mata_Atlantica;0,235294117647059;0,00602748986029743;0,0123861891062673
Turdus_fumigatus;R;Amazonia;0,0588235294117647;0;0,00572242334507371
Turdus_hauxwelli;R;Amazonia;0,117647058823529;0;0,00677303973869889
Turdus_leucomelas;R;Cerrado;0,0952380952380952;0,0647445624683864;0,00534059018533437
Turdus_leucomelas;R;Mata_Atlantica;0,352941176470588;0,202512392969806;0,0146460024915407
Turdus_leucops;R;Andinean_Forest;0,0714285714285714;0;0,00731710434382509
Turdus_nigriceps;R;Andinean_Forest;0,142857142857143;0;0,0110998371377608
Turdus_rufiventris;R;Caatinga;0,166666666666667;0,00182982616651418;0,01540727137613
Turdus_rufiventris;R;Cerrado;0,0476190476190476;0;0,00516969239013997
Turdus_rufiventris;R;Mata_Atlantica;0,117647058823529;0;0,0032511215532742
Turdus_serranus;R;Andinean_Forest;0,0714285714285714;0;0,00808835164338352
Turdus_subalaris;PM;Cerrado;0,0476190476190476;0;0,00214680560796043
Tyrannus_melancholicus;PM;Caatinga;0,0833333333333333;0;0,0187974386116478
Tyrannus_melancholicus;PM;Cerrado;0,0476190476190476;0;0,00254916623045302
Tyrannus_melancholicus;PM;Mata_Atlantica;0,0588235294117647;0;0,00905434392254583
Veniliornis_affinis;R;Caatinga;0,0833333333333333;0;0,00592030905209274
Veniliornis_passerinus;R;Caatinga;0,0833333333333333;0;0,00592030905209274
Vireo_olivaceus;M;Andinean_Forest;0,0714285714285714;0;0,00473622729920051
Vireo_olivaceus;M;Mata_Atlantica;0,0588235294117647;0;0,0109802859889567
Volatinia_jacarina;R;Caatinga;0,333333333333333;0,132662397072278;0,0241187246832786
Volatinia_jacarina;R;Cerrado;0,19047619047619;0,0185466194570899;0,0119742389991589
Willisornis_poecilinotus;R;Amazonia;0,176470588235294;0;0,00743983696128716
Willisornis_poecilinotus;R;Andinean_Forest;0,0714285714285714;0;NA
Xiphorhynchus_elegans;R;Amazonia;0,0588235294117647;0;0,00383496852130005
Xiphorhynchus_ocellatus;R;Amazonia;0,0588235294117647;0;0,00562919209669088
Zonotrichia_capensis;R;Andinean_Forest;0,0714285714285714;0;0,0180596330661104
Zonotrichia_capensis;R;Caatinga;0,166666666666667;0;0,0192035381064148
Zonotrichia_capensis;R;Cerrado;0,19047619047619;0,118866970156803;0,0139282191860212
Zonotrichia_capensis;R;Mata_Atlantica;0,117647058823529;0;0,0119554023144133
